iter	Passed	Remaining
0	1	162
1	2	135
2	3	126
3	4	114
4	5	111
5	6	108
6	7	105
7	9	103
8	10	101
9	11	99
10	11	96
11	12	94
12	13	92
13	14	91
14	15	89
15	16	87
16	17	85
17	18	83
18	19	81
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	65
30	28	64
31	29	63
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	37
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
