iter	Passed	Remaining
0	157	157162
1	158	78953
2	158	52807
3	159	39733
4	160	31949
5	161	26787
6	162	23085
7	163	20334
8	165	18178
9	166	16462
10	167	15049
11	168	13905
12	169	12892
13	170	12021
14	171	11262
15	172	10599
16	173	10031
17	174	9533
18	175	9077
19	176	8665
20	177	8295
21	178	7951
22	179	7643
23	181	7368
24	182	7101
25	182	6848
26	183	6613
27	184	6396
28	184	6194
29	185	6005
30	186	5828
31	187	5673
32	188	5522
33	189	5378
34	190	5243
35	191	5121
36	192	5006
37	193	4892
38	194	4789
39	196	4707
40	197	4607
41	197	4513
42	198	4422
43	199	4337
44	204	4342
45	206	4292
46	208	4222
47	209	4149
48	210	4080
49	211	4011
50	211	3943
51	212	3877
52	213	3814
53	214	3752
54	215	3701
55	216	3651
56	217	3599
57	218	3551
58	220	3520
59	222	3482
60	223	3441
61	224	3398
62	225	3354
63	226	3311
64	227	3268
65	229	3244
66	230	3207
67	232	3192
68	234	3169
69	236	3145
70	237	3109
71	238	3073
72	239	3039
73	240	3004
74	240	2970
75	242	2947
76	243	2923
77	245	2903
78	246	2878
79	247	2851
80	249	2830
81	250	2808
82	251	2776
83	252	2751
84	253	2729
85	254	2704
86	255	2686
87	257	2668
88	258	2649
89	260	2631
90	261	2610
91	262	2594
92	264	2576
93	265	2554
94	265	2532
95	266	2510
96	267	2489
97	268	2468
98	269	2453
99	271	2439
100	272	2425
101	273	2410
102	274	2392
103	275	2374
104	276	2360
105	278	2347
106	279	2333
107	280	2316
108	281	2299
109	282	2283
110	283	2267
111	284	2255
112	285	2242
113	286	2227
114	287	2213
115	288	2199
116	289	2183
117	290	2172
118	291	2161
119	292	2148
120	293	2133
121	294	2118
122	295	2105
123	296	2091
124	296	2078
125	298	2067
126	298	2055
127	299	2042
128	300	2031
129	301	2019
130	302	2009
131	303	1997
132	304	1987
133	306	1978
134	307	1968
135	307	1956
136	308	1944
137	309	1933
138	310	1922
139	311	1911
140	312	1904
141	313	1893
142	314	1883
143	315	1873
144	316	1863
145	317	1854
146	318	1845
147	319	1839
148	320	1832
149	321	1823
150	322	1813
151	323	1803
152	323	1793
153	324	1784
154	326	1777
155	327	1770
156	328	1762
157	329	1754
158	330	1745
159	330	1737
160	331	1728
161	332	1719
162	333	1711
163	334	1703
164	335	1695
165	335	1687
166	336	1679
167	337	1671
168	338	1664
169	339	1656
170	340	1651
171	341	1645
172	342	1639
173	343	1632
174	344	1625
175	345	1619
176	346	1613
177	347	1606
178	349	1601
179	349	1593
180	350	1586
181	351	1580
182	352	1573
183	353	1566
184	354	1560
185	355	1555
186	356	1550
187	357	1543
188	358	1537
189	359	1531
190	360	1525
191	361	1519
192	362	1514
193	363	1509
194	364	1503
195	365	1497
196	366	1492
197	366	1486
198	367	1481
199	369	1476
200	370	1473
201	371	1468
202	375	1472
203	377	1471
204	380	1477
205	382	1475
206	386	1481
207	389	1481
208	392	1483
209	394	1483
210	395	1479
211	397	1476
212	399	1477
213	401	1476
214	403	1473
215	405	1471
216	407	1469
217	408	1464
218	409	1459
219	410	1455
220	411	1451
221	413	1448
222	415	1448
223	417	1446
224	420	1447
225	423	1448
226	424	1445
227	425	1441
228	427	1438
229	430	1439
230	432	1438
231	434	1437
232	436	1436
233	437	1433
234	439	1429
235	440	1427
236	443	1427
237	445	1426
238	447	1423
239	449	1424
240	451	1422
241	452	1418
242	454	1414
243	455	1410
244	457	1408
245	458	1406
246	460	1404
247	462	1401
248	463	1399
249	466	1398
250	467	1394
251	468	1390
252	470	1389
253	472	1386
254	473	1384
255	476	1383
256	478	1384
257	481	1385
258	483	1382
259	485	1381
260	488	1382
261	490	1381
262	491	1377
263	492	1373
264	494	1370
265	495	1367
266	496	1364
267	498	1361
268	500	1360
269	502	1358
270	504	1356
271	505	1353
272	507	1350
